country_code,country,year,hs_section_code,hs_section,trade_value_usd,source,source_url
UZB,Uzbekistan,2011,01,Animal Products,8072031.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,02,Vegetable Products,827194981.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,03,Animal and Vegetable Bi-Products,324492.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,04,Foodstuffs,60423816.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,05,Mineral Products,1632204765.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,06,Chemical Products,690402207.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,07,Plastics and Rubbers,85834587.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,08,Animal Hides,12787085.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,09,Wood Products,1324271.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,10,Paper Goods,15947025.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,11,Textiles,1614246950.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,12,Footwear and Headwear,7968984.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,13,Stone And Glass,22565291.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,14,Precious Metals,205174640.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,15,Metals,846444512.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,16,Machines,139533812.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,17,Transportation,716010922.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,18,Instruments,6120318.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,20,Miscellaneous,8503448.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,21,Arts and Antiques,1335701.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,01,Animal Products,8868216.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,02,Vegetable Products,514810957.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,03,Animal and Vegetable Bi-Products,118465.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,04,Foodstuffs,61651629.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,05,Mineral Products,403088373.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,06,Chemical Products,573389828.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,07,Plastics and Rubbers,62779939.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,08,Animal Hides,22214354.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,09,Wood Products,1649025.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,10,Paper Goods,17115714.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,11,Textiles,1737845265.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,12,Footwear and Headwear,9725441.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,13,Stone And Glass,34514151.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,14,Precious Metals,696244774.0000001,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,15,Metals,772277730.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,16,Machines,115210099.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,17,Transportation,741474182.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,18,Instruments,11106271.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,19,Weapons,41633.99999999999,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,20,Miscellaneous,10264042.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,21,Arts and Antiques,1230454.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,01,Animal Products,11612411.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,02,Vegetable Products,647165755.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,03,Animal and Vegetable Bi-Products,118735.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,04,Foodstuffs,62574275.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,05,Mineral Products,1332810868.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,06,Chemical Products,670247623.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,07,Plastics and Rubbers,56371510.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,08,Animal Hides,22925382.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,09,Wood Products,1489558.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,10,Paper Goods,14927902.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,11,Textiles,1788862981.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,12,Footwear and Headwear,10191532.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,13,Stone And Glass,40414878.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,14,Precious Metals,1809188265.0000002,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,15,Metals,764268155.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,16,Machines,134628528.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,17,Transportation,678970682.9999999,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,18,Instruments,10024885.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,20,Miscellaneous,8710111.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,21,Arts and Antiques,2815188.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,01,Animal Products,10028230.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,02,Vegetable Products,609223524.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,03,Animal and Vegetable Bi-Products,125888.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,04,Foodstuffs,57239506.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,05,Mineral Products,1078099551.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,06,Chemical Products,532898511.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,07,Plastics and Rubbers,52855744.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,08,Animal Hides,19824435.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,09,Wood Products,1323039.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,10,Paper Goods,16661972.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,11,Textiles,1255320832.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,12,Footwear and Headwear,10208949.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,13,Stone And Glass,37881020.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,14,Precious Metals,1446776762.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,15,Metals,822686253.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,16,Machines,98173570.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,17,Transportation,476027688.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,18,Instruments,6316481.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,19,Weapons,529.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,20,Miscellaneous,7153924.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,21,Arts and Antiques,1337983.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,01,Animal Products,10028486.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,02,Vegetable Products,529853693.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,03,Animal and Vegetable Bi-Products,155751.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,04,Foodstuffs,43773153.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,05,Mineral Products,676339865.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,06,Chemical Products,636112701.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,07,Plastics and Rubbers,46232594.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,08,Animal Hides,23211346.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,09,Wood Products,1205752.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,10,Paper Goods,21046732.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,11,Textiles,1411920597.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,12,Footwear and Headwear,10975327.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,13,Stone And Glass,15491196.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,14,Precious Metals,1921188603.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,15,Metals,720240547.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,16,Machines,50531520.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,17,Transportation,56739455.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,18,Instruments,115445345.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,20,Miscellaneous,5284908.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,21,Arts and Antiques,2189581.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,01,Animal Products,16427730.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,02,Vegetable Products,699910213.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,03,Animal and Vegetable Bi-Products,467323.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,04,Foodstuffs,54298798.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,05,Mineral Products,845703900.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,06,Chemical Products,455784579.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,07,Plastics and Rubbers,432265271.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,08,Animal Hides,30702115.000000004,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,09,Wood Products,1172497.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,10,Paper Goods,20047617.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
