country,iso2c,iso3c,year,status,lastupdated,mfg_va,fdi_pct_gdp,gdp_pc,trade_open,gfcf,lpi,edu_enroll,region,capital,longitude,latitude,income,lending,post2017,fdi_lag1,fdi_lag2,trend
Uzbekistan,UZ,UZB,2000,,2026-04-08,NA,0.542857629929967,555.149231099186,44.0540299791129,22.8682884875292,NA,13.0081100463867,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,NA,NA,-10
Uzbekistan,UZ,UZB,2001,,2026-04-08,NA,0.726225245162731,454.415812256778,56.776277587152,26.8186709439019,NA,13.297869682312,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,0.542857629929967,NA,-9
Uzbekistan,UZ,UZB,2002,,2026-04-08,NA,0.674044441759953,381.409296889283,58.954524710746,20.4907250812059,NA,13.7379999160767,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,0.726225245162731,0.542857629929967,-8
Uzbekistan,UZ,UZB,2003,,2026-04-08,NA,0.815041487200325,394.164028897235,70.4592746850874,20.0944737911418,NA,13.8350601196289,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,0.674044441759953,0.726225245162731,-7
Uzbekistan,UZ,UZB,2004,,2026-04-08,NA,1.46799380148438,462.171492867885,76.5956691950086,21.4419704754914,NA,13.8527898788452,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,0.815041487200325,0.674044441759953,-6
Uzbekistan,UZ,UZB,2005,,2026-04-08,NA,1.49216056466347,542.835808692209,69.5252584247083,19.8776643179221,NA,9.84444999694824,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,1.46799380148438,0.815041487200325,-5
Uzbekistan,UZ,UZB,2006,,2026-04-08,NA,1.19530557570436,649.118167003925,67.4712921717973,21.6289781253402,NA,9.96053028106689,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,1.49216056466347,1.46799380148438,-4
Uzbekistan,UZ,UZB,2007,,2026-04-08,NA,2.99176207276698,824.028192334768,74.4141929762327,23.5133025895708,2.16,9.83143043518066,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,1.19530557570436,1.49216056466347,-3
Uzbekistan,UZ,UZB,2008,,2026-04-08,NA,1.85438789059302,1074.72928796701,79.7479920348578,26.7771453792424,NA,9.89933967590332,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,2.99176207276698,1.19530557570436,-2
Uzbekistan,UZ,UZB,2009,,2026-04-08,NA,1.81985173937585,1205.7993547038,68.673142199791,28.3518580027382,NA,9.8161096572876,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,1.85438789059302,2.99176207276698,-1
Uzbekistan,UZ,UZB,2010,,2026-04-08,10.1811359695823,3.34115466012917,1753.20730243278,49.2689977994484,22.5907016952306,2.79,8.85653237012253,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,1.81985173937585,1.85438789059302,0
Uzbekistan,UZ,UZB,2011,,2026-04-08,10.2450890019411,2.68375111593279,2087.86386135694,49.6542884929351,20.7843666958629,NA,8.58497947573208,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,3.34115466012917,1.81985173937585,1
Uzbekistan,UZ,UZB,2012,,2026-04-08,10.5353690643513,1.10230120247607,2307.34649117185,44.2393191333204,20.894843279837,2.46,7.84954008903504,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,2.68375111593279,3.34115466012917,2
Uzbekistan,UZ,UZB,2013,,2026-04-08,11.6145232608903,0.945033981533171,2461.97947403595,42.3779149727359,21.7617594826989,NA,7.97676963416095,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend,0,1.10230120247607,2.68375111593279,3
