country,iso2c,iso3c,year,status,lastupdated,mfg_va,fdi_pct_gdp,trade_open,gdp_pc,region,capital,longitude,latitude,income,lending
Ethiopia,ET,ETH,2010,,2026-04-08,3.97390612014563,0.963030625359937,NA,330.619412798644,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2011,,2026-04-08,3.68255139559386,1.96735663905254,48.232935411689,343.024942351887,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2012,,2026-04-08,3.42006071889612,0.643172898229037,45.3979041835072,452.101031885754,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2013,,2026-04-08,3.702189003056,2.82040845857162,41.4717870807625,484.039833104062,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2014,,2026-04-08,3.99132524576571,3.33569111068815,40.7410841498626,549.986577082588,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2015,,2026-04-08,4.4046191387627,4.22926466080082,39.6561241449515,597.912113218663,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2016,,2026-04-08,5.69139715520615,6.0502150951561,34.8990210816111,641.651523286233,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2017,,2026-04-08,6.18658862115693,5.26039764214773,31.1036494929016,696.348429076216,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2018,,2026-04-08,5.82761794884477,4.03228222144798,31.1993689777881,739.702022272086,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2019,,2026-04-08,5.5943681537753,2.77536541541531,28.8152939288346,793.473247210264,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2020,,2026-04-08,5.30328095327218,2.42792592797614,24.0061143401794,829.790982547947,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2021,,2026-04-08,4.60568847899772,3.90520609771909,24.3450574647644,893.00983544905,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2022,,2026-04-08,4.24106228595515,2.9803331590978,26.5954996967313,982.103161506992,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Ethiopia,ET,ETH,2023,,2026-04-08,4.47900684001568,2.40146315358044,20.5982015072652,1055.81091592527,Sub-Saharan Africa,Addis Ababa,38.7468,9.02274,Not classified,IDA
Georgia,GE,GEO,2010,,2026-04-08,9.07142986139329,7.41065931415781,81.6733870603639,3281.72930937343,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2011,,2026-04-08,9.45154105521284,7.56100540937968,85.4659350932986,4119.66818307193,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2012,,2026-04-08,9.54490769616805,5.73087327277528,89.7348800946338,4530.69533409431,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2013,,2026-04-08,9.22261068021141,5.97432640298838,93.8139137895532,4712.00229382665,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2014,,2026-04-08,9.21055324380556,10.2241873429056,94.9506979383393,4830.33486170249,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2015,,2026-04-08,9.23868791246961,11.3986492046024,97.0163115086257,4086.6223465965,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2016,,2026-04-08,7.78368506004979,10.746989399988,94.9262528383443,4143.40125686315,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2017,,2026-04-08,8.77075350749879,11.7183676491747,102.584277697146,4418.75206546679,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2018,,2026-04-08,9.05712081808966,7.28401976586955,109.847740556266,4804.0546040444,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2019,,2026-04-08,8.82563487913767,7.92523222582948,117.810080239714,4741.2832715876,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2020,,2026-04-08,9.42818092349716,3.47997036066188,92.8910841752194,4300.85701291207,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2021,,2026-04-08,9.91604571503854,6.84360165773215,101.60090754891,5083.60695484577,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2022,,2026-04-08,9.72325569585506,9.03652531888906,114.695437688718,6729.84659930283,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Georgia,GE,GEO,2023,,2026-04-08,8.35535490870856,6.86202066832702,107.151179161579,8283.66960652261,Europe & Central Asia,Tbilisi,44.793,41.71,Upper middle income,IBRD
Kazakhstan,KZ,KAZ,2010,,2026-04-08,11.3213182158369,5.03630628288047,74.1382658957842,8793.07589980782,Europe & Central Asia,Astana,71.4382,51.1879,Upper middle income,IBRD
