country_code,country,year,hs_section_code,hs_section,value_usd,source,source_url
UZB,Uzbekistan,2011,18,Instruments,6120318,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,20,Miscellaneous,8503448,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2011,21,Arts and Antiques,1335701,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,01,Animal Products,8868216,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,02,Vegetable Products,514810957,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,03,Animal and Vegetable Bi-Products,118465,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,04,Foodstuffs,61651629,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,05,Mineral Products,403088373,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,06,Chemical Products,573389828,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,07,Plastics and Rubbers,62779939,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,08,Animal Hides,22214354,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,09,Wood Products,1649025,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,10,Paper Goods,17115714,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,11,Textiles,1737845265,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,12,Footwear and Headwear,9725441,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,13,Stone And Glass,34514151,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,14,Precious Metals,696244774.0000001,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,15,Metals,772277730,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,16,Machines,115210099,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,17,Transportation,741474182,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,18,Instruments,11106271,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,19,Weapons,41633.99999999999,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,20,Miscellaneous,10264042,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2012,21,Arts and Antiques,1230454,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,01,Animal Products,11612411,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,02,Vegetable Products,647165755,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,03,Animal and Vegetable Bi-Products,118735,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,04,Foodstuffs,62574275,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,05,Mineral Products,1332810868,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,06,Chemical Products,670247623,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,07,Plastics and Rubbers,56371510,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,08,Animal Hides,22925382,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,09,Wood Products,1489558,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,10,Paper Goods,14927902,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,11,Textiles,1788862981,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,12,Footwear and Headwear,10191532,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,13,Stone And Glass,40414878,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,14,Precious Metals,1809188265,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,15,Metals,764268155,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,16,Machines,134628528,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,17,Transportation,678970682.9999999,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,18,Instruments,10024885,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,20,Miscellaneous,8710111,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2013,21,Arts and Antiques,2815188,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,01,Animal Products,10028230,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,02,Vegetable Products,609223524,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,03,Animal and Vegetable Bi-Products,125888,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,04,Foodstuffs,57239506,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,05,Mineral Products,1078099551,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,06,Chemical Products,532898511,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,07,Plastics and Rubbers,52855744,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,08,Animal Hides,19824435,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,09,Wood Products,1323039,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,10,Paper Goods,16661972,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,11,Textiles,1255320832,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,12,Footwear and Headwear,10208949,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,13,Stone And Glass,37881020,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,14,Precious Metals,1446776762,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,15,Metals,822686253,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,16,Machines,98173570,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,17,Transportation,476027688,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,18,Instruments,6316481,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,19,Weapons,529,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,20,Miscellaneous,7153924,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2014,21,Arts and Antiques,1337983,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,01,Animal Products,10028486,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,02,Vegetable Products,529853693,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,03,Animal and Vegetable Bi-Products,155751,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,04,Foodstuffs,43773153,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,05,Mineral Products,676339865,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,06,Chemical Products,636112701,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,07,Plastics and Rubbers,46232594,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,08,Animal Hides,23211346,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,09,Wood Products,1205752,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,10,Paper Goods,21046732,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,11,Textiles,1411920597,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,12,Footwear and Headwear,10975327,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,13,Stone And Glass,15491196,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,14,Precious Metals,1921188603,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,15,Metals,720240547,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,16,Machines,50531520,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,17,Transportation,56739455,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,18,Instruments,115445345,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,20,Miscellaneous,5284908,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2015,21,Arts and Antiques,2189581,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,01,Animal Products,16427730,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,02,Vegetable Products,699910213,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,03,Animal and Vegetable Bi-Products,467323,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,04,Foodstuffs,54298798,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,05,Mineral Products,845703900,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,06,Chemical Products,455784579,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,07,Plastics and Rubbers,432265271,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,08,Animal Hides,30702115.000000004,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,09,Wood Products,1172497,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,10,Paper Goods,20047617,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,11,Textiles,1345565521,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,12,Footwear and Headwear,14922060,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,13,Stone And Glass,10988862,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,14,Precious Metals,2880523432,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,15,Metals,625007147,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,16,Machines,62043363,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,17,Transportation,33438781.000000004,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,18,Instruments,145694808,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,19,Weapons,126,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,20,Miscellaneous,5155112,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,21,Arts and Antiques,1850340,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,01,Animal Products,26152954,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,02,Vegetable Products,975724970,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,03,Animal and Vegetable Bi-Products,743164,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,04,Foodstuffs,78421566,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,05,Mineral Products,1715500187,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,06,Chemical Products,414734011,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,07,Plastics and Rubbers,501587964,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,08,Animal Hides,131279918,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,09,Wood Products,2152044,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,10,Paper Goods,36240672,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,11,Textiles,1665840425,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,12,Footwear and Headwear,17932348,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,13,Stone And Glass,88605677,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,14,Precious Metals,3762390914,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,15,Metals,1049874042,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,16,Machines,208510041,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
