country_code,country,year,fdi_gdp,gdp_pc,lpi,mfg_va,trade_open
GEO,Georgia,1995,,578.336923460866,,,67.8286788091539
GEO,Georgia,1996,,689.034634153312,,16.8954375080781,45.6965490500194
GEO,Georgia,1997,6.90780807482052,807.032285752352,,15.1507168104678,57.7530659289995
GEO,Georgia,1998,7.34191772565261,851.515542450841,,13.2593934808148,53.5666693215985
GEO,Georgia,1999,2.93925854428705,673.537782887275,,12.7665955157267,57.1518743274472
GEO,Georgia,2000,4.29984428089904,749.908534993961,,12.2453707534213,62.6613956413099
GEO,Georgia,2001,3.41273251705983,801.98383707929,,12.2310458495655,63.3299250824094
GEO,Georgia,2002,4.72348885200524,853.526171868939,,12.8044527896996,71.6291255364807
GEO,Georgia,2003,8.39036166616402,1010.03151630868,,13.0323092911106,77.6333765369391
GEO,Georgia,2004,9.61361623129554,1305.04748557208,,12.2217358997588,79.0407459055607
GEO,Georgia,2005,7.06775086735302,1642.78359414797,,12.0945881988486,84.5295975354749
GEO,Georgia,2006,15.1240361672901,1996.02013272284,,11.1182822210458,89.125374368197
GEO,Georgia,2007,18.5993001881899,2635.36650276116,,10.9481104873542,88.3934140686603
GEO,Georgia,2008,12.5221905619449,3324.7537205015,,10.4430429517324,86.2982243681487
GEO,Georgia,2009,6.13732507746039,2822.68939668797,,9.92827754920494,78.1930390303569
GEO,Georgia,2010,7.41065931415781,3281.72930937343,2.61,9.07142986139329,81.6733870603639
GEO,Georgia,2011,7.56100540937968,4119.66818307193,,9.45154105521284,85.4659350932986
GEO,Georgia,2012,5.73087327277528,4530.69533409431,2.77,9.54490769616805,89.7348800946338
GEO,Georgia,2013,5.97432640298838,4712.00229382665,,9.22261068021141,93.8139137895532
GEO,Georgia,2014,10.2241873429056,4830.33486170249,2.507491,9.21055324380556,94.9506979383393
GEO,Georgia,2015,11.3986492046024,4086.6223465965,,9.23868791246961,97.0163115086257
GEO,Georgia,2016,10.746989399988,4143.40125686315,2.353013,7.78368506004979,94.9262528383443
GEO,Georgia,2017,11.7183676491747,4418.75206546679,,8.77075350749879,102.584277697146
GEO,Georgia,2018,7.28401976586955,4804.0546040444,2.44,9.05712081808966,109.847740556266
GEO,Georgia,2019,7.92523222582948,4741.2832715876,,8.82563487913767,117.810080239714
GEO,Georgia,2020,3.47997036066188,4300.85701291207,,9.42818092349716,92.8910841752194
GEO,Georgia,2021,6.84360165773215,5083.60695484577,,9.91604571503854,101.60090754891
GEO,Georgia,2022,9.03652531888906,6729.84659930283,2.7,9.72325569585506,114.695437688718
GEO,Georgia,2023,6.86202066832702,8283.66960652261,,8.35535490870856,107.151179161579
GEO,Georgia,2024,4.68837813919395,9241.49122313713,,8.4367085488571,103.456471449056
KAZ,Kazakhstan,1995,4.73243190920833,1217.79138769863,,14.6070164367623,82.522407044045
KAZ,Kazakhstan,1996,5.40518494342609,1281.39152895397,,13.2472781029019,71.2735732877076
KAZ,Kazakhstan,1997,5.96140056843242,1381.63593295187,,13.3363454370665,72.3595506961877
KAZ,Kazakhstan,1998,5.20165904469805,1414.59289652597,,12.0199034941889,65.2041827454395
KAZ,Kazakhstan,1999,9.40677610871111,1091.54727722159,,14.0916517754439,82.579151355772
KAZ,Kazakhstan,2000,7.49246609878753,1180.0444563226,,16.4980359256673,105.699692634521
KAZ,Kazakhstan,2001,12.7154903277303,1422.27331810957,,16.4450901932272,92.8490685069707
KAZ,Kazakhstan,2002,10.5066901062522,1573.55219932325,,14.4961308853034,94.03168564978
KAZ,Kazakhstan,2003,8.05370034022495,1958.02050246511,,14.2177474367653,91.4633324250457
KAZ,Kazakhstan,2004,13.0128589220718,2722.47407755402,,13.3141536472172,96.4091997009336
KAZ,Kazakhstan,2005,4.45711144385218,3577.35804001782,,12.0413930742043,97.7625030243024
KAZ,Kazakhstan,2006,9.39605595950726,5030.13494711519,,11.6324580776122,91.4535267973373
KAZ,Kazakhstan,2007,11.4190297456091,6449.43931096532,2.12,11.4916052350723,92.1616330969975
KAZ,Kazakhstan,2008,12.6039290016987,8123.54705891736,,11.7738896985166,94.2948046483658
KAZ,Kazakhstan,2009,12.3805834457831,6938.01175663001,,10.8721535671572,75.7660674636533
KAZ,Kazakhstan,2010,5.03630628288047,8793.07589980782,2.83,11.3213182158369,74.1382658957842
