year,sectors_with_rca,mean_rca_manuf
2010,7,1.5044438980686021
2011,8,1.6736706485899078
2012,7,2.258677842263359
2013,8,1.7525368058041206
2014,8,1.6466352886475302
2015,8,1.348890855417866
2016,9,1.0083693268542375
2017,10,1.1123697269609645
2018,8,0.9819400267871794
2019,8,0.9026292019332297
2020,9,0.9014668306235172
2021,10,1.1974736815550011
2022,12,1.0677435634543628
2023,9,0.9668864399081221
