country_label,Avg Manufacturing VA (% GDP),Avg FDI (% GDP),Avg LPI Score,Avg Doing Business Score,Peak FDI (% GDP),Avg ECI
Uzbekistan (post-2017),17.82,2.53,2.59,68.08,3.44,-0.354
Vietnam (post-2000),19.04,4.96,2.89,NA,9.66,NA
