period,years,mean_manuf_va_gdp,mean_fdi_gdp,mean_gdp_per_capita,mean_unemployment
Post-2017,2017-2023,17.82,2.53,2248.5,5.1
Pre-2017,2010-2016,11.68,1.74,2405.99,5.06
