outcome,r.squared,adj.r.squared,statistic,p.value,df,df.residual,nobs
Manufacturing VA (% GDP),0.9639,0.9531,89.0258,0,3,10,14
FDI inflows (% GDP),0.3772,0.1903,2.0186,0.1753,3,10,14
