scenario_id,scenario,year,manuf_va,fdi_gdp,eci,lo80_manuf,hi80_manuf,lo80_eci,hi80_eci,period
A,A: Status Quo,2024,20.07004991097058,2.1355222338187603,-0.0832856044808548,19.149006757345326,20.991093064595837,-0.19312834705123527,0.026557138089525673,forecast
A,A: Status Quo,2025,20.776400906783863,2.1355222338187603,-0.06821940990668594,19.473849187396144,22.07895262617158,-0.2609490183990168,0.1245101985856449,forecast
A,A: Status Quo,2026,21.482751902597144,2.1355222338187603,-0.06156411095172455,19.88745836455474,23.07804544063955,-0.32513969307236096,0.20201147116891188,forecast
A,A: Status Quo,2027,22.189102898410425,2.1355222338187603,-0.05862421767198084,20.347016591159917,24.031189205660933,-0.3831143045955234,0.26586586925156175,forecast
A,A: Status Quo,2028,22.895453894223706,2.1355222338187603,-0.057325557378165026,20.83593879250686,24.954968995940554,-0.43510356010308493,0.3204524453467549,forecast
A,A: Status Quo,2029,23.601804890036988,2.1355222338187603,-0.05675189078613118,21.345719132571258,25.857890647502717,-0.48202455612145984,0.36852077454919746,forecast
A,A: Status Quo,2030,24.30815588585027,2.1355222338187603,-0.05649848089873964,21.871304754599187,26.74500701710135,-0.5248113013317388,0.4118143395342595,forecast
B,B: Accelerated GVC Embedding,2024,20.420049910970583,2.2555222338187604,-0.0582856044808548,19.149006757345326,20.991093064595837,-0.19312834705123527,0.026557138089525673,forecast
B,B: Accelerated GVC Embedding,2025,21.476400906783862,2.37552223381876,-0.01821940990668594,19.473849187396144,22.07895262617158,-0.2609490183990168,0.1245101985856449,forecast
B,B: Accelerated GVC Embedding,2026,22.532751902597145,2.49552223381876,0.01343588904827546,19.88745836455474,23.07804544063955,-0.32513969307236096,0.20201147116891188,forecast
B,B: Accelerated GVC Embedding,2027,23.589102898410424,2.6155222338187603,0.04137578232801917,20.347016591159917,24.031189205660933,-0.3831143045955234,0.26586586925156175,forecast
B,B: Accelerated GVC Embedding,2028,24.645453894223706,2.7355222338187604,0.06767444262183497,20.83593879250686,24.954968995940554,-0.43510356010308493,0.3204524453467549,forecast
B,B: Accelerated GVC Embedding,2029,25.70180489003699,2.8555222338187605,0.093248109213868835,21.345719132571258,25.857890647502717,-0.48202455612145984,0.36852077454919746,forecast
B,B: Accelerated GVC Embedding,2030,26.758155885850268,2.97552223381876,0.11850151910126037,21.871304754599187,26.74500701710135,-0.5248113013317388,0.4118143395342595,forecast
C,C: Vietnam Trajectory,2024,20.796330349198364,2.0465478564559536,-0.036842075427168455,19.149006757345326,20.991093064595837,-0.19312834705123527,0.026557138089525673,forecast
C,C: Vietnam Trajectory,2025,22.22896178323943,1.957573479093147,0.024667648200686745,19.473849187396144,22.07895262617158,-0.2609490183990168,0.1245101985856449,forecast
C,C: Vietnam Trajectory,2026,23.661593217280494,1.8685991017303403,0.07776647620933448,19.88745836455474,23.07804544063955,-0.32513969307236096,0.20201147116891188,forecast
C,C: Vietnam Trajectory,2027,25.094224651321557,1.7796247243675336,0.12714989854276454,20.347016591159917,24.031189205660933,-0.3831143045955234,0.26586586925156175,forecast
C,C: Vietnam Trajectory,2028,26.526856085362624,1.690650347004727,0.1748920878902667,20.83593879250686,24.954968995940554,-0.43510356010308493,0.3204524453467549,forecast
C,C: Vietnam Trajectory,2029,27.959487519403687,1.6016759696419203,0.22190928353598688,21.345719132571258,25.857890647502717,-0.48202455612145984,0.36852077454919746,forecast
C,C: Vietnam Trajectory,2030,29.39211895344475,1.5127015922791136,0.2686062224770648,21.871304754599187,26.74500701710135,-0.5248113013317388,0.4118143395342595,forecast
