partner,y2016,y2023,abs_growth_usd,pct_growth,share_growth
China,3614171387,13744455286,10130283899,280.2934010113118,85.46819687950834
Japan,159391524,335939616,176548092,110.76378942207742,1.489518678469324
South Korea,948389314,2494251388,1545862074,162.99868115131463,13.042284442022337
