country,iso2c,iso3c,year,status,lastupdated,mfg_va,fdi_pct_gdp,gdp_pc,trade_open,gfcf,lpi,edu_enroll,region,capital,longitude,latitude,income,lending
China,CN,CHN,2010,,2026-04-08,31.0748956423241,3.93541996731512,4629.24551710077,49.8540722338977,43.5201821905755,3.49,25.2883066277701,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2011,,2026-04-08,31.5623565182378,3.65069190228423,5703.76027973346,49.9458272253643,43.515390928039,NA,26.7875039907406,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2012,,2026-04-08,31.0143036500115,2.78099138181613,6405.0574241349,47.4802130784317,43.8737076505916,3.52,29.3081906903292,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2013,,2026-04-08,30.1275021518721,2.98598708261986,7147.03518622344,45.9160413795571,44.0755431365052,NA,32.7191603158803,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2014,,2026-04-08,29.8300397890826,2.51155883670463,7781.06597484974,44.0684564812532,43.3803473680085,3.531463,43.7110051016854,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2015,,2026-04-08,28.3889960582852,2.14957284731563,8175.33285077393,38.6971848362625,41.6166710438192,NA,47.1192619330726,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2016,,2026-04-08,27.5237594259275,1.52539470315394,8254.86859320357,36.177170692978,41.0805800894123,3.661104,49.309077375597,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2017,,2026-04-08,27.5998559245177,1.32468971748482,8979.67652709856,36.95085261586,41.4184897995936,NA,51.0678812273407,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2018,,2026-04-08,27.34341880328,1.66361992284408,10085.6638148819,36.8943843914718,42.3803760237203,3.61,53.3987984572814,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2019,,2026-04-08,26.2594662949297,1.28549226847992,10342.9009524335,35.1994202738836,42.2503490502374,NA,56.6050917923292,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2020,,2026-04-08,25.7441402732098,1.68770756292082,10627.4637989619,34.0389507864581,41.8494114609444,NA,61.6124675996947,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2021,,2026-04-08,26.9701216685139,1.8903454142588,12887.4357242941,36.5206911762676,41.3521203793076,NA,66.8186077597542,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2022,,2026-04-08,26.4237655920515,1.03841365474349,12970.6056414327,37.440719876366,41.2329317275585,3.7,71.5799465086024,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
China,CN,CHN,2023,,2026-04-08,25.4991668287269,0.280991103634816,12951.1782397043,36.1051923691138,40.4544347218594,NA,74.5933014618366,East Asia & Pacific,Beijing,116.286,40.0495,Upper middle income,IBRD
Japan,JP,JPN,2000,,2026-04-08,22.4522088081884,0.215124715468568,39169.3595701504,19.5623715839054,28.4871419080841,NA,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2001,,2026-04-08,21.1197171693841,0.112602474486226,34406.1824638092,19.5596044720071,27.7309731011096,NA,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2002,,2026-04-08,20.7147020460507,0.276304070175932,32820.7936433254,20.4471220661583,26.2604182019213,NA,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2003,,2026-04-08,20.9171312937455,0.194079344432153,35387.0374203599,21.3261252678119,25.7133538154767,NA,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2004,,2026-04-08,21.1205912192442,0.153847735604894,38298.9801712303,23.6643534228975,25.3239274810451,NA,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2005,,2026-04-08,21.4233723857104,0.113001254131506,37812.8950199948,26.2299545778565,25.9010440257525,NA,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2006,,2026-04-08,21.3992856851895,-0.0520879011005226,35991.546002862,30.0163760986692,26.0446863446433,NA,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2007,,2026-04-08,21.8755058812491,0.472322726975046,35779.0245416427,32.816578051879,25.4051268567059,4.02,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2008,,2026-04-08,21.2740312202671,0.48220858946511,39876.3039685725,34.1294765412245,25.2928155191183,NA,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2009,,2026-04-08,19.0476835097055,0.231146374633735,41308.9968370512,24.3901665338555,23.624293447427,NA,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2010,,2026-04-08,20.7662008986202,0.12920448958805,44968.1562349739,28.4984726938389,22.6196594231882,3.97,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2011,,2026-04-08,19.5355543051759,-0.0136482744839263,48760.0789494211,30.1949607286296,23.3511623002885,NA,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2012,,2026-04-08,19.6667084270194,0.00872020150189608,49145.2804308193,30.4709109171752,23.7736492973571,3.93,NA,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2013,,2026-04-08,19.3290316543759,0.204293384186424,40898.6478964744,33.9787686509511,24.5565269630113,NA,62.6422691345215,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2014,,2026-04-08,19.5936092334203,0.403354543401035,38475.3952461838,37.4314345686579,25.0845490939861,3.914618,62.8334884643555,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2015,,2026-04-08,20.4624703758492,0.11816198774824101,34960.6393843385,35.4274083544798,24.9714561746572,NA,62.4498481750488,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2016,,2026-04-08,20.2880385682684,0.818481615264516,39375.4731620781,31.3102468455884,24.7606842913738,3.970464,62.4975395202637,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2017,,2026-04-08,20.4359460686022,0.381319638034272,38834.0529341227,34.4232135721686,25.0073498435107,NA,63.287540435791,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2018,,2026-04-08,20.621683951335,0.501685482403774,39751.1330982711,36.609931802107,25.2677675892842,4.03,62.6058502197266,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2019,,2026-04-08,20.2241827905106,0.780785313301259,40415.9567649547,35.2164181084145,25.5475785734924,NA,62.4008407592773,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2020,,2026-04-08,20.0515708445907,1.23830386396694,40028.7341726762,31.335208636773,25.4716981132075,NA,62.2987403869629,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2021,,2026-04-08,20.779603531788,0.695100892094565,40094.5599795288,36.7384462280698,25.5546376460195,NA,62.0412483215332,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2022,,2026-04-08,19.8229456954966,1.12971840820326,34065.6438962526,46.8129868368938,26.2617706144091,3.9,63.3752288818359,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
Japan,JP,JPN,2023,,2026-04-08,20.5810487191941,0.474278368651713,33836.1756271617,45.1508795641248,26.0120879352945,NA,64.4907608032227,East Asia & Pacific,Tokyo,139.77,35.67,High income,Not classified
"Korea, Rep.",KR,KOR,2000,,2026-04-08,26.591050957139,1.92630076608706,12710.2995795579,64.0588155729056,31.4951209990461,NA,74.6898574829102,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2001,,2026-04-08,25.1376270244517,1.14917273381718,11981.4828218758,60.4277386641693,30.5058350146188,NA,77.3433532714844,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2002,,2026-04-08,24.7767716060025,0.842304427693724,13642.9424537101,56.6688767960273,30.187571612987,NA,80.7160491943359,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2003,,2026-04-08,24.4315182881075,0.962229414316563,15211.5483770422,59.4242945541732,31.0719624895722,NA,84.4563903808594,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2004,,2026-04-08,26.4144323811178,1.61486572889407,17121.6301633201,67.9270638751076,30.9148949506372,NA,89.8009033203125,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2005,,2026-04-08,26.0918099370413,1.403996477148,20167.0474902506,66.1695148242697,30.4585673582197,NA,95.3700103759766,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2006,,2026-04-08,25.7222784544775,0.836569086676283,22609.7059431449,68.3749509402263,30.5042866575012,NA,99.9493103027344,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2007,,2026-04-08,25.9241510203287,0.722975995794071,25078.4853957105,71.3239614988013,30.0691213268305,3.52,102.949272155762,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2008,,2026-04-08,26.0793572324032,1.02488987542862,22252.3125108061,92.0833544961819,30.8917515930741,NA,103.136177062988,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2009,,2026-04-08,26.3042343079035,0.917731561520283,19937.3029137734,83.1246099057162,30.8870549838266,NA,102.658447265625,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2010,,2026-04-08,28.0990056835275,0.796207328344812,24071.2620526362,88.0278677123124,30.4627998691082,3.64,101.673286437988,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2011,,2026-04-08,29.0005575131874,0.747683727442323,26175.2398553363,101.68061646213,30.579957304265,NA,100.819679260254,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2012,,2026-04-08,28.7408682052811,0.711120351080011,26600.5477433903,101.51727207905,29.8554284944494,3.7,98.286979675293,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2013,,2026-04-08,28.8654766941182,0.889863368558993,28449.3591104972,94.1675235855873,29.2348610530955,NA,96.3375015258789,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2014,,2026-04-08,28.2760755546832,0.595893048504325,30667.0912467447,86.9342577972039,29.1925808527488,3.666238,94.4421691894531,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2015,,2026-04-08,27.8215922094514,0.266636382581676,30171.7906545222,75.3881774564907,29.1800840544677,NA,93.9676513671875,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2016,,2026-04-08,27.5129940831191,0.766507046338007,30832.0628072516,69.8997221316919,29.8662168895967,3.717126,93.6577224731445,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2017,,2026-04-08,28.0322405682167,1.04741749331971,33296.9845439195,73.1921408264016,31.6985138146943,NA,93.7230224609375,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2018,,2026-04-08,27.7672237489814,0.66781363782051,35363.9508228687,74.7075162140824,30.4949863588202,3.61,93.3281784057617,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2019,,2026-04-08,26.370175590513,0.550202642546341,33826.9443301597,71.4470632403511,30.112526532099,NA,93.9989166259766,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2020,,2026-04-08,25.7002433607737,0.502554290313687,33645.7719545073,65.544957860621,31.0409083655236,NA,96.8767700195312,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2021,,2026-04-08,26.2480856022754,1.13577953855347,37518.4635305697,75.3063047610912,31.4877644393711,NA,100.359878540039,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2022,,2026-04-08,26.4977408590265,1.39186469730544,34822.4048404971,90.5851475278549,31.9338930962313,3.8,102.813056945801,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
"Korea, Rep.",KR,KOR,2023,,2026-04-08,25.4551420827792,1.00819007911736,35674.095995632,82.2580090716629,31.4470154989809,NA,106.709167480469,East Asia & Pacific,Seoul,126.957,37.5323,High income,Not classified
Uzbekistan,UZ,UZB,2000,,2026-04-08,NA,0.542857629929967,555.149231099186,44.0540299791129,22.8682884875292,NA,13.0081100463867,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2001,,2026-04-08,NA,0.726225245162731,454.415812256778,56.776277587152,26.8186709439019,NA,13.297869682312,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2002,,2026-04-08,NA,0.674044441759953,381.409296889283,58.954524710746,20.4907250812059,NA,13.7379999160767,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2003,,2026-04-08,NA,0.815041487200325,394.164028897235,70.4592746850874,20.0944737911418,NA,13.8350601196289,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2004,,2026-04-08,NA,1.46799380148438,462.171492867885,76.5956691950086,21.4419704754914,NA,13.8527898788452,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2005,,2026-04-08,NA,1.49216056466347,542.835808692209,69.5252584247083,19.8776643179221,NA,9.84444999694824,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2006,,2026-04-08,NA,1.19530557570436,649.118167003925,67.4712921717973,21.6289781253402,NA,9.96053028106689,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2007,,2026-04-08,NA,2.99176207276698,824.028192334768,74.4141929762327,23.5133025895708,2.16,9.83143043518066,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2008,,2026-04-08,NA,1.85438789059302,1074.72928796701,79.7479920348578,26.7771453792424,NA,9.89933967590332,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2009,,2026-04-08,NA,1.81985173937585,1205.7993547038,68.673142199791,28.3518580027382,NA,9.8161096572876,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2010,,2026-04-08,10.1811359695823,3.34115466012917,1753.20730243278,49.2689977994484,22.5907016952306,2.79,8.85653237012253,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
